index,ds,city_name,y,temp_min,temp_max,rain_1h,clouds_all
4629,2017-07-13,Valencia,300.69166666666666,300.69166666666666,300.69166666666666,0.0,16.0
4634,2017-07-14,Valencia,300.65,300.65,300.65,0.0,33.333333333333336
4639,2017-07-15,Valencia,300.31666666666666,300.31666666666666,300.31666666666666,0.0,31.25
4644,2017-07-16,Valencia,301.06666666666666,301.06666666666666,301.06666666666666,0.0,1.6666666666666667
4649,2017-07-17,Valencia,300.1083333333333,300.1083333333333,300.1083333333333,0.0,21.25
4654,2017-07-18,Valencia,300.65,300.65,300.65,0.0,20.0
4659,2017-07-19,Valencia,300.56666666666666,300.56666666666666,300.56666666666666,0.0,26.666666666666668
4664,2017-07-20,Valencia,300.15,300.15,300.15,0.0,28.333333333333332
4669,2017-07-21,Valencia,300.1083333333333,300.1083333333333,300.1083333333333,0.0124999999999999,43.125
4674,2017-07-22,Valencia,300.6083333333333,300.6083333333333,300.6083333333333,0.0,24.708333333333332
4679,2017-07-23,Valencia,300.44166666666666,300.44166666666666,300.44166666666666,0.0,21.458333333333332
4684,2017-07-24,Valencia,300.775,300.775,300.775,0.0,18.125
4689,2017-07-25,Valencia,299.56666666666666,299.56666666666666,299.56666666666666,0.0,15.625
4694,2017-07-26,Valencia,298.94166666666666,298.94166666666666,298.94166666666666,0.0,11.666666666666666
4699,2017-07-27,Valencia,301.4,301.4,301.4,0.0,11.666666666666666
4704,2017-07-28,Valencia,300.9833333333333,300.9833333333333,300.9833333333333,0.0,13.333333333333334
4709,2017-07-29,Valencia,300.81666666666666,300.81666666666666,300.81666666666666,0.0,15.833333333333334
4714,2017-07-30,Valencia,300.9,300.9,300.9,0.0,15.833333333333334
4719,2017-07-31,Valencia,300.81666666666666,300.81666666666666,300.81666666666666,0.0,37.5
4724,2017-08-01,Valencia,300.8583333333333,300.8583333333333,300.8583333333333,0.0,32.708333333333336
4729,2017-08-02,Valencia,301.62870833333335,301.62870833333335,301.62870833333335,0.0,28.541666666666668
4734,2017-08-03,Valencia,302.8555833333333,302.8555833333333,302.8555833333333,0.0,0.0
4739,2017-08-04,Valencia,303.025,303.025,303.025,0.0,5.833333333333333
4744,2017-08-05,Valencia,302.18999999999994,302.18999999999994,302.18999999999994,0.024,18.4
4749,2017-08-06,Valencia,301.06666666666666,301.06666666666666,301.06666666666666,0.0,54.791666666666664
4754,2017-08-07,Valencia,301.44166666666666,301.44166666666666,301.44166666666666,0.0,34.583333333333336
4759,2017-08-08,Valencia,301.275,301.275,301.275,0.0,10.833333333333334
4764,2017-08-09,Valencia,299.275,299.275,299.275,0.0124999999999999,41.875
4769,2017-08-10,Valencia,295.69166666666666,295.69166666666666,295.69166666666666,0.0124999999999999,38.333333333333336
4774,2017-08-11,Valencia,295.9,295.9,295.9,0.0,18.125
4779,2017-08-12,Valencia,297.8583333333333,297.8583333333333,297.8583333333333,0.0,19.791666666666668
4784,2017-08-13,Valencia,297.81666666666666,297.81666666666666,297.81666666666666,0.0,20.833333333333332
4789,2017-08-14,Valencia,298.525,298.525,298.525,0.0,19.166666666666668
4794,2017-08-15,Valencia,299.1083333333333,299.1083333333333,299.1083333333333,0.0,21.666666666666668
4799,2017-08-16,Valencia,299.85122916666666,299.85122916666666,299.85122916666666,0.0,24.291666666666668
4804,2017-08-17,Valencia,301.15,301.15,301.15,0.0,34.166666666666664
4809,2017-08-18,Valencia,300.81666666666666,300.81666666666666,300.81666666666666,0.0,9.166666666666666
4814,2017-08-19,Valencia,300.3583333333333,300.3583333333333,300.3583333333333,0.0,29.791666666666668
4819,2017-08-20,Valencia,299.525,299.525,299.525,0.0,22.916666666666668
4824,2017-08-21,Valencia,299.94166666666666,299.94166666666666,299.94166666666666,0.0,16.666666666666668
4829,2017-08-22,Valencia,299.3583333333333,299.3583333333333,299.3583333333333,0.0,0.0
4834,2017-08-23,Valencia,298.69166666666666,298.69166666666666,298.69166666666666,0.0,15.0
4839,2017-08-24,Valencia,299.4,299.4,299.4,0.0,23.958333333333332
4844,2017-08-25,Valencia,299.275,299.275,299.275,0.0124999999999999,25.625
4849,2017-08-26,Valencia,300.275,300.275,300.275,0.0,20.0
4854,2017-08-27,Valencia,300.3583333333333,300.3583333333333,300.3583333333333,0.0124999999999999,20.625
4859,2017-08-28,Valencia,299.7333333333333,299.7333333333333,299.7333333333333,0.0,20.0
4864,2017-08-29,Valencia,295.6884615384615,295.6884615384615,295.6884615384615,0.3,42.11538461538461
4869,2017-08-30,Valencia,296.81666666666666,296.81666666666666,296.81666666666666,0.0625,27.5
4874,2017-08-31,Valencia,297.525,297.525,297.525,0.0249999999999999,23.333333333333332
4879,2017-09-01,Valencia,296.775,296.775,296.775,0.0375,47.083333333333336
4884,2017-09-02,Valencia,296.56666666666666,296.56666666666666,296.56666666666666,0.0,32.291666666666664
4889,2017-09-03,Valencia,296.525,296.525,296.525,0.0,5.0
4894,2017-09-04,Valencia,297.65,297.65,297.65,0.0,16.458333333333332
4899,2017-09-05,Valencia,298.775,298.775,298.775,0.0,20.416666666666668
4904,2017-09-06,Valencia,298.31666666666666,298.31666666666666,298.31666666666666,0.0,23.75
4909,2017-09-07,Valencia,297.15,297.15,297.15,0.0,47.708333333333336
4914,2017-09-08,Valencia,297.6083333333333,297.6083333333333,297.6083333333333,0.0,23.125
4919,2017-09-09,Valencia,296.54999999999995,296.54999999999995,296.54999999999995,0.036,16.8
4924,2017-09-10,Valencia,295.06666666666666,295.06666666666666,295.06666666666666,0.0,15.0
4929,2017-09-11,Valencia,300.275,300.275,300.275,0.0,0.8333333333333334
4934,2017-09-12,Valencia,296.4,296.4,296.4,0.0,10.833333333333334
4939,2017-09-13,Valencia,296.15,296.15,296.15,0.0,0.0
4944,2017-09-14,Valencia,297.9833333333333,297.9833333333333,297.9833333333333,0.0,1.6666666666666667
4949,2017-09-15,Valencia,293.44166666666666,293.44166666666666,293.44166666666666,0.0,71.25
4954,2017-09-16,Valencia,291.7333333333333,291.7333333333333,291.7333333333333,0.0124999999999999,39.166666666666664
4959,2017-09-17,Valencia,293.65,293.65,293.65,0.0,15.833333333333334
4964,2017-09-18,Valencia,294.9833333333333,294.9833333333333,294.9833333333333,0.0,13.333333333333334
4969,2017-09-19,Valencia,294.44166666666666,294.44166666666666,294.44166666666666,0.0,8.333333333333334
4974,2017-09-20,Valencia,294.81666666666666,294.81666666666666,294.81666666666666,0.0,18.125
4979,2017-09-21,Valencia,295.00290494791665,295.00290494791665,295.00290494791665,0.0,15.333333333333334
4984,2017-09-22,Valencia,295.3583333333333,295.3583333333333,295.3583333333333,0.0,25.625
4989,2017-09-23,Valencia,295.1083333333333,295.1083333333333,295.1083333333333,0.0,19.166666666666668
4994,2017-09-24,Valencia,296.53879166666667,296.53879166666667,296.53879166666667,0.0,6.666666666666667
4999,2017-09-25,Valencia,297.65,297.65,297.65,0.0,9.166666666666666
5004,2017-09-26,Valencia,295.6083333333333,295.6083333333333,295.6083333333333,0.0,45.833333333333336
5009,2017-09-27,Valencia,295.69166666666666,295.69166666666666,295.69166666666666,0.0,36.875
5014,2017-09-28,Valencia,295.8228125,295.8228125,295.8228125,0.0,34.708333333333336
5019,2017-09-29,Valencia,294.9833333333333,294.9833333333333,294.9833333333333,0.0,18.333333333333332
5024,2017-09-30,Valencia,294.34999999999997,294.34999999999997,294.34999999999997,0.0,15.2
5029,2017-10-01,Valencia,295.94166666666666,295.94166666666666,295.94166666666666,0.0,20.625
5034,2017-10-02,Valencia,295.56666666666666,295.56666666666666,295.56666666666666,0.0,17.083333333333332
5039,2017-10-03,Valencia,295.8583333333333,295.8583333333333,295.8583333333333,0.0,15.0
5044,2017-10-04,Valencia,296.2333333333333,296.2333333333333,296.2333333333333,0.0,27.5
5049,2017-10-05,Valencia,296.275,296.275,296.275,0.0,5.833333333333333
5054,2017-10-06,Valencia,294.94166666666666,294.94166666666666,294.94166666666666,0.0,3.3333333333333335
5059,2017-10-07,Valencia,291.8583333333333,291.8583333333333,291.8583333333333,0.0499999999999999,49.166666666666664
5064,2017-10-08,Valencia,294.19166666666666,294.19166666666666,294.19166666666666,0.0,18.75
5069,2017-10-09,Valencia,293.44166666666666,293.44166666666666,293.44166666666666,0.0,12.5
5074,2017-10-10,Valencia,293.9,293.9,293.9,0.0,17.083333333333332
5079,2017-10-11,Valencia,293.94166666666666,293.94166666666666,293.94166666666666,0.0,22.083333333333332
5084,2017-10-12,Valencia,293.525,293.525,293.525,0.0,15.625
5089,2017-10-13,Valencia,294.31666666666666,294.31666666666666,294.31666666666666,0.0,17.5
5094,2017-10-14,Valencia,295.00425,295.00425,295.00425,0.0,41.875
5099,2017-10-15,Valencia,294.44166666666666,294.44166666666666,294.44166666666666,0.0,35.0
5104,2017-10-16,Valencia,294.12916666666666,294.12916666666666,294.12916666666666,0.0,39.791666666666664
